AgenteMEM,CapInstOC,Clasific,Email,FuentePri,Nombre,Provincia,Ptotal12me ,StartYear,Website
EGEHID,"0,30",Hidroeléctrica Pasada,info@hidroelectrica.gov.do,Agua,Nizao Najayo,Peravia,"0,92",1995,www.egehid.com.do
GENERADORA PALAMARA LA VEGA,"107,00",Motores de Combustión Interna,N/D,Fuel Oil,Palamara,Santo Domingo,"210,10",2000,www.naturgy.com.do
EGEHAINA,"25,60",Motores de Combustión Interna,contacto@egehaina.com,Fuel Oil,Palenque,San Cristóbal,"37,67",2018,www.egehaina.com
EGEHID,"81,60",Hidroeléctrica Embalse,info@hidroelectrica.gov.do,Agua,Palomino 1 y 2,San Juan,"103,47",2012,www.egehid.com.do
LAESA,"111,20",Motores de Combustión Interna,N/D,Fuel Oil,Pimentel,Duarte,"565,45",2006,www.laesa.net
EGEHID,"50,00",Hidroeléctrica Embalse,info@hidroelectrica.gov.do,Agua,Pinalito 1 y 2,Monseñor Nouel,"93,50",2009,www.egehid.com.do
CDEEE,"752,00",Turbo Vapor (Ciclo Rankine),puntacatalina@cdeee.gob.do,Carbón Mineral,Punta Catalina 1 y 2,Peravia,"5.007,40",2019,puntacatalina.cdeee.gob.do
CEPM,"8,30",Eólica,info@cepm.com.do,Viento,Quilvio Cabrera,Pedernales,"0,00",2011,www.cepm.com.do
EGE HAINA,"224,90",Motores de Combustión Interna,contacto@egehaina.com,Fuel Oil,Quisqueya 1,San Pedro de Macorís,"396,50",2013,www.egehaina.com
EGE HAINA,"225,20",Motores de Combustión Interna,contacto@egehaina.com,Fuel Oil,Quisqueya 2,San Pedro de Macorís,"1.476,17",2013,www.egehaina.com
EGEHID,"10,10",Hidroeléctrica Embalse,info@hidroelectrica.gov.do,Agua,Rincón,La Vega,"21,33",1978,www.egehid.com.do
EGEHID,"25,00",Hidroeléctrica Embalse,info@hidroelectrica.gov.do,Agua,Río Blanco,Monseñor Nouel,"113,55",1996,www.egehid.com.do
EGEHID,"0,90",Hidroeléctrica Embalse,info@hidroelectrica.gov.do,Agua,Rosa Julia de la Cruz (BOBA),María Trinidad Sánchez,"0,72",2006,www.egehid.com.do
EGEHID,"12,80",Hidroeléctrica Embalse,info@hidroelectrica.gov.do,Agua,Sabana Yegua,Azua,"48,11",1980,www.egehid.com.do
EGEHID,"6,30",Hidroeléctrica Embalse,info@hidroelectrica.gov.do,Agua,Sabaneta,San Juan,"27,47",1981,www.egehid.com.do
AES Andrés,"50,00",Fotovoltaica,infoaesdominicana@aes.com,Sol,Santanasol,Peravia,"79,94",2022,www.aesdominicana.com
GSF,"185,00",Ciclo Combinado,N/D,Fuel Oil,San Felipe (Smith-Enron),Puerto Plata,"0,00",1994,N/D
EGE ITABO,"34,00",Turbo Gas (Ciclo Brayton),infoaesdominicana@aes.com,Diesel,San Lorenzo,San Cristóbal,"0,00",2012,www.aesdominicana.com
N/A,"35,00",Central Térrmica (Biomasa),N/D,Biomasa,San Pedro BioEnergy,San Pedro de Macorís,"191,99",2016,N/D
EGE HAINA,"33,00",Turbo Vapor (Ciclo Rankine),contacto@egehaina.com,Fuel Oil,San Pedro Vapor,San Pedro de Macorís,"0,00",1990,www.egehaina.com
SIBA Energy Corporation,"270,20",Turbo Gas (Ciclo Brayton),N/D,,SIBA Energy,Santo Domingo,"17,68",2023,N/D
EGE HAINA,"68,00",Motores de Combustión Interna,contacto@egehaina.com,Fuel Oil,Sultana del Este,San Pedro de Macorís,"293,22",2001,www.egehaina.com
EGEHID,"96,00",Hidroeléctrica Embalse,info@hidroelectrica.gov.do,Agua,Tavera,Santiago,"158,97",1973,www.egehid.com.do
EGEHID,"54,00",Hidroeléctrica Embalse,info@hidroelectrica.gov.do,Agua,Valdesia,Peravia,"50,41",1975,www.egehid.com.do
